Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5312,Area harvested,221,"Almonds, with shell",2014,2014,ha,13703,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,711,"Anise, badian, fennel, coriander",2014,2014,ha,20300,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,515,Apples,2014,2014,ha,12247,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,526,Apricots,2014,2014,ha,9005,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,44,Barley,2014,2014,ha,342472,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,558,Berries nes,2014,2014,ha,3800,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,569,Figs,2014,2014,ha,1525,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,512,"Fruit, citrus nes",2014,2014,ha,300,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,619,"Fruit, fresh nes",2014,2014,ha,8450,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,541,"Fruit, stone nes",2014,2014,ha,8229,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,560,Grapes,2014,2014,ha,78405,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,333,Linseed,2014,2014,ha,4213,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,56,Maize,2014,2014,ha,127000,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,568,"Melons, other (inc.cantaloupes)",2014,2014,ha,22722,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,79,Millet,2014,2014,ha,1515,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,234,"Nuts, nes",2014,2014,ha,1161,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,260,Olives,2014,2014,ha,2200,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,490,Oranges,2014,2014,ha,1050,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,534,Peaches and nectarines,2014,2014,ha,2377,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,521,Pears,2014,2014,ha,632,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,223,Pistachios,2014,2014,ha,2299,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,536,Plums and sloes,2014,2014,ha,4825,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,116,Potatoes,2014,2014,ha,25009,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,211,"Pulses, nes",2014,2014,ha,79746,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,27,"Rice, paddy",2014,2014,ha,220000,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,328,Seed cotton,2014,2014,ha,35000,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,289,Sesame seed,2014,2014,ha,47244,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,157,Sugar beet,2014,2014,ha,980,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,156,Sugar cane,2014,2014,ha,3210,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,267,Sunflower seed,2014,2014,ha,1800,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,463,"Vegetables, fresh nes",2014,2014,ha,63611,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,222,"Walnuts, with shell",2014,2014,ha,2317,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,567,Watermelons,2014,2014,ha,19835,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,15,Wheat,2014,2014,ha,2653746,,Official data
QC,Crops,3,Albania,5312,Area harvested,515,Apples,2014,2014,ha,3863,,Official data
QC,Crops,3,Albania,5312,Area harvested,526,Apricots,2014,2014,ha,320,,Official data
QC,Crops,3,Albania,5312,Area harvested,44,Barley,2014,2014,ha,2703,,Official data
