Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2016","2016","ha","19481","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","221","Almonds, with shell","2017","2017","ha","19793","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","711","Anise, badian, fennel, coriander","2016","2016","ha","26019","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","711","Anise, badian, fennel, coriander","2017","2017","ha","28873","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","515","Apples","2016","2016","ha","19365","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","515","Apples","2017","2017","ha","26847","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","526","Apricots","2016","2016","ha","8595","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","526","Apricots","2017","2017","ha","23890","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","44","Barley","2016","2016","ha","219208","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","44","Barley","2017","2017","ha","68179","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","558","Berries nes","2016","2016","ha","3800","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","558","Berries nes","2017","2017","ha","3800","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","569","Figs","2016","2016","ha","811","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","569","Figs","2017","2017","ha","1623","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","512","Fruit, citrus nes","2016","2016","ha","1662","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","512","Fruit, citrus nes","2017","2017","ha","1643","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","619","Fruit, fresh nes","2016","2016","ha","7723","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","619","Fruit, fresh nes","2017","2017","ha","7519","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","541","Fruit, stone nes","2016","2016","ha","7330","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","541","Fruit, stone nes","2017","2017","ha","7532","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","560","Grapes","2016","2016","ha","82450","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","560","Grapes","2017","2017","ha","87194","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","333","Linseed","2016","2016","ha","577","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","333","Linseed","2017","2017","ha","1395","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","56","Maize","2016","2016","ha","151900","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","56","Maize","2017","2017","ha","134225","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2016","2016","ha","79951","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2017","2017","ha","54406","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","79","Millet","2016","2016","ha","2815","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","79","Millet","2017","2017","ha","2492","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","234","Nuts, nes","2016","2016","ha","1415","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","234","Nuts, nes","2017","2017","ha","1296","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","260","Olives","2016","2016","ha","2200","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","260","Olives","2017","2017","ha","2171","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","403","Onions, dry","2016","2016","ha","13335","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","403","Onions, dry","2017","2017","ha","17721","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","490","Oranges","2016","2016","ha","970","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","490","Oranges","2017","2017","ha","798","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","534","Peaches and nectarines","2016","2016","ha","3110","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","534","Peaches and nectarines","2017","2017","ha","7465","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","521","Pears","2016","2016","ha","1346","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","521","Pears","2017","2017","ha","1680","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","223","Pistachios","2016","2016","ha","2277","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","223","Pistachios","2017","2017","ha","2262","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","536","Plums and sloes","2016","2016","ha","3302","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","536","Plums and sloes","2017","2017","ha","4022","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","116","Potatoes","2016","2016","ha","35699","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","116","Potatoes","2017","2017","ha","32116","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","211","Pulses, nes","2016","2016","ha","111894","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","211","Pulses, nes","2017","2017","ha","52243","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2016","2016","ha","119000","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","27","Rice, paddy","2017","2017","ha","109452","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","328","Seed cotton","2016","2016","ha","51102","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","328","Seed cotton","2017","2017","ha","48688","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","289","Sesame seed","2016","2016","ha","15000","*","Unofficial figure"
"QC","Crops","2","Afghanistan","5312","Area harvested","289","Sesame seed","2017","2017","ha","15000","*","Unofficial figure"
"QC","Crops","2","Afghanistan","5312","Area harvested","723","Spices, nes","2016","2016","ha","2588","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","723","Spices, nes","2017","2017","ha","2000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5312","Area harvested","157","Sugar beet","2016","2016","ha","202","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","157","Sugar beet","2017","2017","ha","201","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","156","Sugar cane","2016","2016","ha","1333","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","156","Sugar cane","2017","2017","ha","1145","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","267","Sunflower seed","2016","2016","ha","493","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","267","Sunflower seed","2017","2017","ha","457","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5312","Area harvested","463","Vegetables, fresh nes","2016","2016","ha","145980","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","463","Vegetables, fresh nes","2017","2017","ha","78255","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","222","Walnuts, with shell","2016","2016","ha","3949","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","222","Walnuts, with shell","2017","2017","ha","4580","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","567","Watermelons","2016","2016","ha","74679","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","567","Watermelons","2017","2017","ha","64181","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","15","Wheat","2016","2016","ha","2300210","","Official data"
"QC","Crops","2","Afghanistan","5312","Area harvested","15","Wheat","2017","2017","ha","2104377","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","515","Apples","2016","2016","ha","4230","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","515","Apples","2017","2017","ha","4346","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","526","Apricots","2016","2016","ha","326","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","526","Apricots","2017","2017","ha","326","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","44","Barley","2016","2016","ha","3104","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","44","Barley","2017","2017","ha","3065","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","176","Beans, dry","2016","2016","ha","13720","","Official data"
"QC","Crops","3","Albania","5312","Area harvested","176","Beans, dry","2017","2017","ha","13041","","Official data"
