Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5510,Production,221,"Almonds, with shell",2014,2014,tonnes,27400,,Official data
QC,Crops,2,Afghanistan,5510,Production,711,"Anise, badian, fennel, coriander",2014,2014,tonnes,13220,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,515,Apples,2014,2014,tonnes,89403,,Official data
QC,Crops,2,Afghanistan,5510,Production,526,Apricots,2014,2014,tonnes,90000,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2014,2014,tonnes,521000,,Official data
QC,Crops,2,Afghanistan,5510,Production,558,Berries nes,2014,2014,tonnes,23114,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,767,Cotton lint,2014,2014,tonnes,14000,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,329,Cottonseed,2014,2014,tonnes,42829,,Official data
QC,Crops,2,Afghanistan,5510,Production,569,Figs,2014,2014,tonnes,6100,,Official data
QC,Crops,2,Afghanistan,5510,Production,512,"Fruit, citrus nes",2014,2014,tonnes,3000,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,619,"Fruit, fresh nes",2014,2014,tonnes,63375,,Official data
QC,Crops,2,Afghanistan,5510,Production,541,"Fruit, stone nes",2014,2014,tonnes,46196,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,560,Grapes,2014,2014,tonnes,744847,,Official data
QC,Crops,2,Afghanistan,5510,Production,333,Linseed,2014,2014,tonnes,2500,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,56,Maize,2014,2014,tonnes,316000,,Official data
QC,Crops,2,Afghanistan,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,274250,,Official data
QC,Crops,2,Afghanistan,5510,Production,79,Millet,2014,2014,tonnes,3629,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,234,"Nuts, nes",2014,2014,tonnes,927,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,260,Olives,2014,2014,tonnes,7107,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,490,Oranges,2014,2014,tonnes,6930,,Official data
QC,Crops,2,Afghanistan,5510,Production,534,Peaches and nectarines,2014,2014,tonnes,20204,,Official data
QC,Crops,2,Afghanistan,5510,Production,521,Pears,2014,2014,tonnes,5056,,Official data
QC,Crops,2,Afghanistan,5510,Production,223,Pistachios,2014,2014,tonnes,2761,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,536,Plums and sloes,2014,2014,tonnes,42190,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,116,Potatoes,2014,2014,tonnes,340257,,Official data
QC,Crops,2,Afghanistan,5510,Production,211,"Pulses, nes",2014,2014,tonnes,60000,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,27,"Rice, paddy",2014,2014,tonnes,537000,,Official data
QC,Crops,2,Afghanistan,5510,Production,328,Seed cotton,2014,2014,tonnes,42829,,Official data
QC,Crops,2,Afghanistan,5510,Production,289,Sesame seed,2014,2014,tonnes,31979,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,157,Sugar beet,2014,2014,tonnes,11330,,Official data
QC,Crops,2,Afghanistan,5510,Production,156,Sugar cane,2014,2014,tonnes,75082,,Official data
QC,Crops,2,Afghanistan,5510,Production,267,Sunflower seed,2014,2014,tonnes,2700,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,463,"Vegetables, fresh nes",2014,2014,tonnes,584335,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,222,"Walnuts, with shell",2014,2014,tonnes,10426,,Official data
QC,Crops,2,Afghanistan,5510,Production,567,Watermelons,2014,2014,tonnes,301409,,Official data
QC,Crops,2,Afghanistan,5510,Production,15,Wheat,2014,2014,tonnes,5370259,,Official data
QC,Crops,3,Albania,5510,Production,515,Apples,2014,2014,tonnes,82060,,Official data
QC,Crops,3,Albania,5510,Production,526,Apricots,2014,2014,tonnes,4140,,Official data
QC,Crops,3,Albania,5510,Production,44,Barley,2014,2014,tonnes,7300,,Official data
QC,Crops,3,Albania,5510,Production,176,"Beans, dry",2014,2014,tonnes,30000,,Official data
QC,Crops,3,Albania,5510,Production,414,"Beans, green",2014,2014,tonnes,11130,,Official data
QC,Crops,3,Albania,5510,Production,181,"Broad beans, horse beans, dry",2014,2014,tonnes,206,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,358,Cabbages and other brassicas,2014,2014,tonnes,34570,,Official data
QC,Crops,3,Albania,5510,Production,426,Carrots and turnips,2014,2014,tonnes,5690,,Official data
QC,Crops,3,Albania,5510,Production,393,Cauliflowers and broccoli,2014,2014,tonnes,3460,,Official data
QC,Crops,3,Albania,5510,Production,531,Cherries,2014,2014,tonnes,17730,,Official data
QC,Crops,3,Albania,5510,Production,530,"Cherries, sour",2014,2014,tonnes,17000,F,FAO estimate
QC,Crops,3,Albania,5510,Production,220,Chestnut,2014,2014,tonnes,6590,,Official data
QC,Crops,3,Albania,5510,Production,401,"Chillies and peppers, green",2014,2014,tonnes,68970,,Official data
QC,Crops,3,Albania,5510,Production,767,Cotton lint,2014,2014,tonnes,230,F,FAO estimate
QC,Crops,3,Albania,5510,Production,329,Cottonseed,2014,2014,tonnes,540,F,FAO estimate
QC,Crops,3,Albania,5510,Production,397,Cucumbers and gherkins,2014,2014,tonnes,79930,,Official data
QC,Crops,3,Albania,5510,Production,577,Dates,2014,2014,tonnes,12180,,Official data
QC,Crops,3,Albania,5510,Production,399,Eggplants (aubergines),2014,2014,tonnes,28200,,Official data
QC,Crops,3,Albania,5510,Production,569,Figs,2014,2014,tonnes,19350,,Official data
QC,Crops,3,Albania,5510,Production,512,"Fruit, citrus nes",2014,2014,tonnes,41,,Official data
QC,Crops,3,Albania,5510,Production,619,"Fruit, fresh nes",2014,2014,tonnes,10058,,Official data
QC,Crops,3,Albania,5510,Production,406,Garlic,2014,2014,tonnes,8240,,Official data
QC,Crops,3,Albania,5510,Production,560,Grapes,2014,2014,tonnes,203700,,Official data
QC,Crops,3,Albania,5510,Production,677,Hops,2014,2014,tonnes,1700,F,FAO estimate
QC,Crops,3,Albania,5510,Production,407,"Leeks, other alliaceous vegetables",2014,2014,tonnes,29900,,Official data
QC,Crops,3,Albania,5510,Production,497,Lemons and limes,2014,2014,tonnes,2933,,Official data
QC,Crops,3,Albania,5510,Production,372,Lettuce and chicory,2014,2014,tonnes,11810,,Official data
QC,Crops,3,Albania,5510,Production,56,Maize,2014,2014,tonnes,380000,,Official data
QC,Crops,3,Albania,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,42460,,Official data
QC,Crops,3,Albania,5510,Production,449,Mushrooms and truffles,2014,2014,tonnes,100,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,234,"Nuts, nes",2014,2014,tonnes,1856,,Official data
QC,Crops,3,Albania,5510,Production,75,Oats,2014,2014,tonnes,30000,,Official data
QC,Crops,3,Albania,5510,Production,430,Okra,2014,2014,tonnes,9149,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,260,Olives,2014,2014,tonnes,98000,,Official data
QC,Crops,3,Albania,5510,Production,403,"Onions, dry",2014,2014,tonnes,94300,,Official data
QC,Crops,3,Albania,5510,Production,402,"Onions, shallots, green",2014,2014,tonnes,26770,,Official data
QC,Crops,3,Albania,5510,Production,490,Oranges,2014,2014,tonnes,4120,,Official data
QC,Crops,3,Albania,5510,Production,534,Peaches and nectarines,2014,2014,tonnes,14420,,Official data
QC,Crops,3,Albania,5510,Production,521,Pears,2014,2014,tonnes,10370,,Official data
QC,Crops,3,Albania,5510,Production,417,"Peas, green",2014,2014,tonnes,4100,,Official data
QC,Crops,3,Albania,5510,Production,536,Plums and sloes,2014,2014,tonnes,33180,,Official data
QC,Crops,3,Albania,5510,Production,116,Potatoes,2014,2014,tonnes,240000,,Official data
QC,Crops,3,Albania,5510,Production,211,"Pulses, nes",2014,2014,tonnes,700,F,FAO estimate
QC,Crops,3,Albania,5510,Production,394,"Pumpkins, squash and gourds",2014,2014,tonnes,11520,,Official data
QC,Crops,3,Albania,5510,Production,523,Quinces,2014,2014,tonnes,4090,,Official data
QC,Crops,3,Albania,5510,Production,27,"Rice, paddy",2014,2014,tonnes,0,,Official data
QC,Crops,3,Albania,5510,Production,71,Rye,2014,2014,tonnes,3070,,Official data
QC,Crops,3,Albania,5510,Production,328,Seed cotton,2014,2014,tonnes,830,F,FAO estimate
QC,Crops,3,Albania,5510,Production,83,Sorghum,2014,2014,tonnes,0,,Official data
QC,Crops,3,Albania,5510,Production,236,Soybeans,2014,2014,tonnes,350,,Official data
QC,Crops,3,Albania,5510,Production,723,"Spices, nes",2014,2014,tonnes,350,F,FAO estimate
QC,Crops,3,Albania,5510,Production,373,Spinach,2014,2014,tonnes,18490,,Official data
QC,Crops,3,Albania,5510,Production,157,Sugar beet,2014,2014,tonnes,36520,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,267,Sunflower seed,2014,2014,tonnes,2000,,Official data
QC,Crops,3,Albania,5510,Production,495,"Tangerines, mandarins, clementines, satsumas",2014,2014,tonnes,13904,,Official data
QC,Crops,3,Albania,5510,Production,826,"Tobacco, unmanufactured",2014,2014,tonnes,3000,,Official data
QC,Crops,3,Albania,5510,Production,388,Tomatoes,2014,2014,tonnes,234150,,Official data
QC,Crops,3,Albania,5510,Production,463,"Vegetables, fresh nes",2014,2014,tonnes,20300,,Official data
QC,Crops,3,Albania,5510,Production,420,"Vegetables, leguminous nes",2014,2014,tonnes,92,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,205,Vetches,2014,2014,tonnes,2006,Im,FAO data based on imputation methodology
QC,Crops,3,Albania,5510,Production,567,Watermelons,2014,2014,tonnes,216270,,Official data
QC,Crops,3,Albania,5510,Production,15,Wheat,2014,2014,tonnes,280000,,Official data
QC,Crops,4,Algeria,5510,Production,221,"Almonds, with shell",2014,2014,tonnes,64827,,Official data
QC,Crops,4,Algeria,5510,Production,515,Apples,2014,2014,tonnes,462815,,Official data
QC,Crops,4,Algeria,5510,Production,526,Apricots,2014,2014,tonnes,216941,,Official data
QC,Crops,4,Algeria,5510,Production,366,Artichokes,2014,2014,tonnes,81106,,Official data
QC,Crops,4,Algeria,5510,Production,486,Bananas,2014,2014,tonnes,320,Im,FAO data based on imputation methodology
QC,Crops,4,Algeria,5510,Production,44,Barley,2014,2014,tonnes,939401,,Official data
QC,Crops,4,Algeria,5510,Production,176,"Beans, dry",2014,2014,tonnes,1343,,Official data
QC,Crops,4,Algeria,5510,Production,414,"Beans, green",2014,2014,tonnes,79570,,Official data
QC,Crops,4,Algeria,5510,Production,181,"Broad beans, horse beans, dry",2014,2014,tonnes,41389,,Official data
QC,Crops,4,Algeria,5510,Production,358,Cabbages and other brassicas,2014,2014,tonnes,85201,,Official data
QC,Crops,4,Algeria,5510,Production,461,Carobs,2014,2014,tonnes,3655,,Official data
QC,Crops,4,Algeria,5510,Production,426,Carrots and turnips,2014,2014,tonnes,386814,,Official data
QC,Crops,4,Algeria,5510,Production,393,Cauliflowers and broccoli,2014,2014,tonnes,155761,,Official data
QC,Crops,4,Algeria,5510,Production,531,Cherries,2014,2014,tonnes,8700,,Official data
QC,Crops,4,Algeria,5510,Production,191,Chick peas,2014,2014,tonnes,35118,,Official data
QC,Crops,4,Algeria,5510,Production,689,"Chillies and peppers, dry",2014,2014,tonnes,15188,Im,FAO data based on imputation methodology
QC,Crops,4,Algeria,5510,Production,401,"Chillies and peppers, green",2014,2014,tonnes,532681,,Official data
QC,Crops,4,Algeria,5510,Production,767,Cotton lint,2014,2014,tonnes,28,F,FAO estimate
QC,Crops,4,Algeria,5510,Production,329,Cottonseed,2014,2014,tonnes,52,F,FAO estimate
