Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2016","2016","tonnes","32843","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2017","2017","tonnes","27291","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2016","2016","tonnes","18012","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2017","2017","tonnes","19719","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2016","2016","tonnes","140903","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2017","2017","tonnes","175000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2016","2016","tonnes","17894","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2017","2017","tonnes","131816","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2016","2016","tonnes","301856","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2017","2017","tonnes","94995","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2016","2016","tonnes","23942","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2017","2017","tonnes","23191","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2016","2016","tonnes","3143","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2017","2017","tonnes","5884","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2016","2016","tonnes","17500","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2017","2017","tonnes","17191","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2016","2016","tonnes","61529","Im","FAO data based on imputation methodology"
