Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QC","Crops","2","Afghanistan","5510","Production","221","Almonds, with shell","2017","2017","tonnes","27291","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","711","Anise, badian, fennel, coriander","2017","2017","tonnes","19719","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","515","Apples","2017","2017","tonnes","175000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5510","Production","526","Apricots","2017","2017","tonnes","131816","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","44","Barley","2017","2017","tonnes","94995","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","558","Berries nes","2017","2017","tonnes","23191","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","569","Figs","2017","2017","tonnes","5884","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","512","Fruit, citrus nes","2017","2017","tonnes","17191","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","619","Fruit, fresh nes","2017","2017","tonnes","55046","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","541","Fruit, stone nes","2017","2017","tonnes","52611","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","560","Grapes","2017","2017","tonnes","954845","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","333","Linseed","2017","2017","tonnes","687","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","56","Maize","2017","2017","tonnes","173912","","Official data"
"QC","Crops","2","Afghanistan","5510","Production","568","Melons, other (inc.cantaloupes)","2017","2017","tonnes","302981","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","79","Millet","2017","2017","tonnes","9040","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","234","Nuts, nes","2017","2017","tonnes","1112","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","260","Olives","2017","2017","tonnes","7818","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","403","Onions, dry","2017","2017","tonnes","212000","F","FAO estimate"
"QC","Crops","2","Afghanistan","5510","Production","490","Oranges","2017","2017","tonnes","4044","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","534","Peaches and nectarines","2017","2017","tonnes","57936","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","521","Pears","2017","2017","tonnes","8862","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","223","Pistachios","2017","2017","tonnes","2784","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","536","Plums and sloes","2017","2017","tonnes","25274","Im","FAO data based on imputation methodology"
"QC","Crops","2","Afghanistan","5510","Production","116","Potatoes","2017","2017","tonnes","513194","","Official data"
